Title,Author,Height,Publisher,GenreCombined
We the People,Palkhivala,216,Unknown Publisher,"philosophy,philosophy"
We the Nation,Palkhivala,216,Unknown Publisher,"philosophy,philosophy"
"Courtroom Genius, The",Sorabjee,217,Unknown Publisher,"nonfiction,autobiography"
Dongri to Dubai,"Zaidi, Hussain",216,Unknown Publisher,"nonfiction,history"
"History of England, Foundation","Ackroyd, Peter",197,Unknown Publisher,"nonfiction,history"
City of Djinns,"Dalrymple, William",198,Unknown Publisher,"nonfiction,history"
India's Legal System,Nariman,177,Unknown Publisher,"nonfiction,legal"
More Tears to Cry,"Sassoon, Jean",235,Unknown Publisher,"fiction,novel"
"Ropemaker, The","Dickinson, Peter",196,Unknown Publisher,"fiction,novel"
Angels & Demons,"Brown, Dan",170,Unknown Publisher,"fiction,novel"
"Judge, The",Unknown Author,170,Unknown Publisher,"fiction,novel"
"Attorney, The",Unknown Author,170,Unknown Publisher,"fiction,novel"
"Prince, The",Machiavelli,173,Unknown Publisher,"fiction,classic"
Eyeless in Gaza,"Huxley, Aldous",180,Unknown Publisher,"fiction,novel"
Tales of Beedle the Bard,"Rowling, J K",184,Unknown Publisher,"fiction,novel"
Girl with the Dragon Tattoo,"Larsson, Steig",179,Unknown Publisher,"fiction,novel"
Girl who kicked the Hornet's Nest,"Larsson, Steig",179,Unknown Publisher,"fiction,novel"
Girl who played with Fire,"Larsson, Steig",179,Unknown Publisher,"fiction,novel"
Batman Handbook,Unknown Author,270,Unknown Publisher,"fiction,comic"
Murphy's Law,Unknown Author,178,Unknown Publisher,"philosophy,psychology"
Structure and Randomness,"Tao, Terence",252,Unknown Publisher,"science,mathematics"
Image Processing with MATLAB,"Eddins, Steve",241,Unknown Publisher,"tech,signal_processing"
Animal Farm,"Orwell, George",180,Unknown Publisher,"fiction,classic"
"Idiot, The","Dostoevsky, Fyodor",197,Unknown Publisher,"fiction,classic"
"Christmas Carol, A","Dickens, Charles",196,Unknown Publisher,"fiction,classic"
Fundamentals of Wavelets,"Goswami, Jaideva",228,Wiley,"signal_processing,trivia"
Data Smart,"Foreman, John",235,Wiley,"data_science,objectivism"
God Created the Integers,"Hawking, Stephen",197,Penguin,"mathematics,legal"
Superfreakonomics,"Dubner, Stephen",179,HarperCollins,"economics,objectivism"
Orientalism,"Said, Edward",197,Penguin,"history,comic"
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",230,Springer,"data_science,comic"
Integration of the Indian States,"Menon, V P",217,Orient Blackswan,"history,comic"
"Drunkard's Walk, The","Mlodinow, Leonard",197,Penguin,"science,misc"
Image Processing & Mathematical Morphology,"Shih, Frank",241,CRC,"signal_processing,trivia"
How to Think Like Sherlock Holmes,"Konnikova, Maria",240,Penguin,"psychology,physics"
Data Scientists at Work,Sebastian Gutierrez,230,Apress,"data_science,comic"
Slaughterhouse Five,"Vonnegut, Kurt",198,Random House,"fiction,comic"
Birth of a Theorem,"Villani, Cedric",234,Bodley Head,"mathematics,legal"
Structure & Interpretation of Computer Programs,"Sussman, Gerald",240,MIT Press,"computer_science,comic"
"Age of Wrath, The","Eraly, Abraham",238,Penguin,"history,objectivism"
"Trial, The","Kafka, Frank",198,Random House,"fiction,comic"
Statistical Decision Theory',"Pratt, John",236,MIT Press,"data_science,comic"
Data Mining Handbook,"Nisbet, Robert",242,Apress,"data_science,comic"
"New Machiavelli, The","Wells, H. G.",180,Penguin,"fiction,objectivism"
Physics & Philosophy,"Heisenberg, Werner",197,Penguin,"science,misc"
Making Software,"Oram, Andy",232,O'Reilly,"computer_science,comic"
"Analysis, Vol I","Tao, Terence",248,HBA,"mathematics,legal"
Machine Learning for Hackers,"Conway, Drew",233,O'Reilly,"data_science,comic"
"Signal and the Noise, The","Silver, Nate",233,Penguin,"data_science,comic"
Python for Data Analysis,"McKinney, Wes",233,O'Reilly,"data_science,objectivism"
Introduction to Algorithms,"Cormen, Thomas",234,MIT Press,"computer_science,comic"
"Beautiful and the Damned, The","Deb, Siddhartha",198,Penguin,"nonfiction,legal"
"Outsider, The","Camus, Albert",198,Penguin,"fiction,comic"
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",176,Random House,"fiction,comic"
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",176,Random House,"fiction,comic"
"Wealth of Nations, The","Smith, Adam",175,Random House,"economics,comic"
"Pillars of the Earth, The","Follett, Ken",176,Random House,"fiction,objectivism"
Mein Kampf,"Hitler, Adolf",212,Rupa,"nonfiction,classic"
"Tao of Physics, The","Capra, Fritjof",179,Penguin,"science,poetry"
Surely You're Joking Mr Feynman,"Feynman, Richard",198,Random House,"science,education"
"Farewell to Arms, A","Hemingway, Ernest",179,Rupa,"fiction,comic"
"Veteran, The","Forsyth, Frederick",177,Transworld,"fiction,objectivism"
False Impressions,"Archer, Jeffery",177,Pan,"fiction,objectivism"
"Last Lecture, The","Pausch, Randy",197,Hyperion,"nonfiction,classic"
Return of the Primitive,"Rand, Ayn",202,Penguin,"philosophy,signal_processing"
Jurassic Park,"Crichton, Michael",174,Random House,"fiction,objectivism"
"Russian Journal, A","Steinbeck, John",196,Penguin,"nonfiction,legal"
Tales of Mystery and Imagination,"Poe, Edgar Allen",172,HarperCollins,"fiction,objectivism"
Freakonomics,"Dubner, Stephen",197,Penguin,"economics,comic"
"Hidden Connections, The","Capra, Fritjof",197,HarperCollins,"science,poetry"
"Story of Philosophy, The","Durant, Will",170,Pocket,"philosophy,legal"
Asami Asami,"Deshpande, P L",205,Mauj,"fiction,objectivism"
Journal of a Novel,"Steinbeck, John",196,Penguin,"fiction,comic"
Once There Was a War,"Steinbeck, John",196,Penguin,"nonfiction,legal"
"Moon is Down, The","Steinbeck, John",196,Penguin,"fiction,comic"
"Brethren, The","Grisham, John",174,Random House,"fiction,objectivism"
In a Free State,"Naipaul, V. S.",196,Rupa,"fiction,comic"
Catch 22,"Heller, Joseph",178,Random House,"fiction,comic"
"Complete Mastermind, The",BBC,178,BBC,"nonfiction,legal"
Dylan on Dylan,"Dylan, Bob",197,Random House,"nonfiction,classic"
Soft Computing & Intelligent Systems,"Gupta, Madan",242,Elsevier,"data_science,objectivism"
Textbook of Economic Theory,"Stonier, Alfred",242,Pearson,"economics,comic"
Econometric Analysis,"Greene, W. H.",242,Pearson,"economics,objectivism"
Learning OpenCV,"Bradsky, Gary",232,O'Reilly,"data_science,comic"
Data Structures Using C & C++,"Tanenbaum, Andrew",235,Prentice Hall,"computer_science,objectivism"
"Computer Vision, A Modern Approach","Forsyth, David",255,Pearson,"data_science,computer_science"
Principles of Communication Systems,"Taub, Schilling",240,TMH,"computer_science,objectivism"
